loan_id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,default
11,15000.0,15000.0,36,16.29,529.51,C,C4,3.0,MORTGAGE,66000.0,Not Verified,2012-07-01,debt_consolidation,FL,19.83,685.0,689.0,18.0,1.0,13232.0,76.0,33.0,6.0,0
12,15000.0,15000.0,36,10.99,491.01,B,B2,1.0,MORTGAGE,105488.0,Source Verified,2014-03-01,home_improvement,FL,5.08,670.0,674.0,11.0,0.0,8159.0,34.7,35.0,3.0,0
13,10000.0,10000.0,36,9.99,322.63,B,B1,10.0,MORTGAGE,145000.0,Verified,2013-10-01,credit_card,CA,13.8,720.0,724.0,9.0,0.0,36339.0,85.5,27.0,7.0,0
14,10000.0,10000.0,60,12.99,227.48,C,C2,3.0,MORTGAGE,55000.0,Source Verified,2016-02-01,other,GA,14.49,660.0,664.0,8.0,3.0,8250.0,39.1,18.0,0.0,0
15,35000.0,35000.0,36,15.99,1230.33,D,D2,0.0,RENT,100000.0,Verified,2015-02-01,debt_consolidation,NY,24.13,670.0,674.0,17.0,0.0,39427.0,85.0,43.0,0.0,0
16,9600.0,9600.0,36,7.97,300.7,A,A5,10.0,OWN,145000.0,Source Verified,2017-05-01,credit_card,AL,16.09,705.0,709.0,10.0,0.0,13652.0,57.4,20.0,4.0,0
17,7000.0,7000.0,36,13.68,238.16,C,C1,5.0,RENT,73000.0,Not Verified,2013-09-01,debt_consolidation,GA,28.45,700.0,704.0,13.0,0.0,2825.0,70.6,36.0,0.0,0
18,5000.0,5000.0,36,15.28,174.02,D,D3,10.0,MORTGAGE,58000.0,Verified,2011-02-01,debt_consolidation,NV,12.19,670.0,674.0,7.0,0.0,4241.0,74.4,12.0,1.0,1
19,35000.0,35000.0,36,18.99,1282.79,E,E1,10.0,MORTGAGE,114000.0,Verified,2014-09-01,debt_consolidation,MD,20.64,695.0,699.0,19.0,0.0,38410.0,55.5,40.0,3.0,0
20,3075.0,3075.0,36,19.99,114.27,D,D4,4.0,RENT,30000.0,Verified,2016-11-01,other,NC,15.64,775.0,779.0,5.0,0.0,171.0,2.0,13.0,0.0,1
21,3500.0,3500.0,36,11.49,115.4,B,B5,7.0,RENT,50000.0,Verified,2016-06-01,credit_card,MO,24.61,675.0,679.0,5.0,0.0,5478.0,46.4,11.0,0.0,1
22,2800.0,2800.0,36,15.05,97.14,C,C4,1.0,RENT,50770.0,Source Verified,2017-11-01,moving,CA,19.51,720.0,724.0,11.0,0.0,19796.0,42.7,38.0,0.0,0
23,13000.0,13000.0,36,10.64,423.4,B,B2,10.0,MORTGAGE,70000.0,Not Verified,2013-09-01,credit_card,UT,12.63,685.0,689.0,10.0,0.0,13806.0,70.1,28.0,3.0,0
24,18000.0,18000.0,60,20.99,486.86,E,E5,10.0,MORTGAGE,56160.0,Source Verified,2015-07-01,debt_consolidation,NY,33.06,670.0,674.0,15.0,0.0,15689.0,57.1,35.0,2.0,1
25,16025.0,16025.0,36,15.31,557.95,C,C5,3.0,RENT,43500.0,Verified,2016-05-01,other,MA,21.32,660.0,664.0,12.0,0.0,15200.0,60.8,17.0,0.0,0
26,23300.0,23300.0,36,13.11,786.31,B,B4,3.0,RENT,65000.0,Verified,2013-01-01,debt_consolidation,NV,12.48,685.0,689.0,6.0,0.0,12220.0,55.0,25.0,0.0,1
27,9000.0,9000.0,36,8.24,283.03,B,B1,6.0,MORTGAGE,70000.0,Not Verified,2016-12-01,debt_consolidation,CA,14.9,705.0,709.0,13.0,0.0,8166.0,33.5,22.0,3.0,0
28,9600.0,9600.0,36,7.26,297.57,A,A4,4.0,RENT,40000.0,Source Verified,2015-10-01,debt_consolidation,FL,29.43,680.0,684.0,7.0,0.0,6662.0,66.6,41.0,0.0,1
29,7500.0,7500.0,36,13.99,256.3,C,C4,2.0,RENT,81000.0,Source Verified,2015-06-01,other,CA,12.81,810.0,814.0,5.0,0.0,78.0,0.7,12.0,0.0,0
30,6000.0,6000.0,36,14.49,206.5,C,C4,9.0,MORTGAGE,115000.0,Not Verified,2016-07-01,credit_card,LA,30.38,685.0,689.0,18.0,0.0,17548.0,50.1,42.0,2.0,1
31,15600.0,15600.0,36,6.62,478.98,A,A2,3.0,MORTGAGE,66000.0,Verified,2014-01-01,credit_card,VT,5.98,705.0,709.0,7.0,0.0,16245.0,89.8,31.0,4.0,0
32,11000.0,11000.0,36,17.99,397.63,D,D2,5.0,RENT,60000.0,Source Verified,2017-03-01,debt_consolidation,VA,14.0,660.0,664.0,3.0,0.0,5901.0,96.7,10.0,0.0,0
33,25000.0,25000.0,36,5.32,752.87,A,A1,0.0,MORTGAGE,135000.0,Source Verified,2017-11-01,credit_card,PA,15.63,700.0,704.0,15.0,0.0,14524.0,20.9,52.0,7.0,0
34,35000.0,35000.0,60,16.99,869.66,D,D3,6.0,MORTGAGE,119350.0,Verified,2015-03-01,debt_consolidation,OR,10.04,660.0,664.0,15.0,5.0,40097.0,1.9,28.0,0.0,0
35,24000.0,24000.0,36,19.99,891.81,D,D4,6.0,RENT,12000.0,Verified,2017-04-01,debt_consolidation,CO,66.88,670.0,674.0,8.0,0.0,22055.0,82.6,13.0,0.0,1
36,21000.0,21000.0,36,9.99,677.52,B,B3,0.0,MORTGAGE,150000.0,Not Verified,2015-11-01,small_business,MN,10.32,805.0,809.0,16.0,0.0,5078.0,10.6,29.0,1.0,0
37,10000.0,10000.0,36,18.25,362.78,D,D3,3.0,RENT,95000.0,Verified,2013-12-01,moving,WA,25.64,680.0,684.0,19.0,0.0,7723.0,39.0,54.0,0.0,0
38,6000.0,6000.0,36,12.35,200.3,B,B4,10.0,MORTGAGE,46800.0,Not Verified,2013-08-01,credit_card,NM,15.64,700.0,704.0,10.0,0.0,8939.0,76.4,29.0,0.0,0
39,9850.0,9850.0,60,13.49,226.6,C,C1,9.0,RENT,55650.0,Verified,2012-01-01,credit_card,NY,17.32,730.0,734.0,9.0,0.0,6107.0,39.4,17.0,1.0,0
40,20000.0,20000.0,60,19.22,521.24,D,D4,6.0,OWN,55000.0,Source Verified,2014-02-01,debt_consolidation,MI,8.36,665.0,669.0,13.0,1.0,3117.0,52.8,32.0,3.0,0
41,30000.0,30000.0,60,12.99,682.44,C,C1,0.0,MORTGAGE,67000.0,Verified,2014-10-01,debt_consolidation,KY,26.42,725.0,729.0,17.0,0.0,47516.0,65.7,34.0,2.0,0
42,15000.0,15000.0,36,15.59,524.33,D,D1,8.0,MORTGAGE,62000.0,Source Verified,2015-01-01,debt_consolidation,IN,14.21,675.0,679.0,12.0,1.0,21923.0,74.8,29.0,1.0,0
43,9600.0,9600.0,36,16.02,337.61,C,C5,2.0,RENT,50000.0,Not Verified,2017-06-01,debt_consolidation,NY,17.55,660.0,664.0,7.0,0.0,10222.0,85.2,33.0,2.0,1
44,3025.0,3025.0,36,15.31,105.33,C,C5,3.0,RENT,38000.0,Source Verified,2016-03-01,other,GA,12.1,660.0,664.0,6.0,0.0,1096.0,64.5,32.0,0.0,0
45,7200.0,7200.0,36,21.49,273.08,D,D5,10.0,MORTGAGE,70000.0,Source Verified,2016-07-01,renewable_energy,TX,21.2,725.0,729.0,9.0,0.0,4618.0,24.7,18.0,1.0,1
46,8400.0,8400.0,60,19.99,222.51,E,E1,2.0,OWN,120000.0,Verified,2012-07-01,other,CA,5.93,670.0,674.0,19.0,0.0,3093.0,35.1,26.0,0.0,0
47,5000.0,5000.0,36,14.16,171.28,C,C2,10.0,OWN,49458.0,Verified,2014-03-01,home_improvement,TX,25.92,695.0,699.0,11.0,1.0,5322.0,41.6,22.0,0.0,0
48,8000.0,8000.0,36,9.99,258.1,B,B3,10.0,MORTGAGE,65000.0,Not Verified,2015-04-01,debt_consolidation,MA,14.36,685.0,689.0,19.0,0.0,11269.0,36.0,26.0,2.0,0
49,30000.0,30000.0,36,18.99,1099.53,D,D4,10.0,RENT,65000.0,Source Verified,2016-03-01,debt_consolidation,TX,22.88,715.0,719.0,19.0,0.0,24562.0,71.4,20.0,0.0,0
50,40000.0,40000.0,36,7.99,1253.28,A,A5,1.0,MORTGAGE,35000.0,Not Verified,2017-04-01,moving,OR,10.77,680.0,684.0,7.0,0.0,8872.0,40.0,18.0,1.0,0
51,4000.0,4000.0,36,9.75,128.6,B,B3,10.0,MORTGAGE,154000.0,Source Verified,2016-06-01,home_improvement,TX,7.53,660.0,664.0,9.0,0.0,20402.0,88.3,45.0,4.0,0
52,30000.0,30000.0,60,25.8,894.67,G,G1,10.0,MORTGAGE,90000.0,Verified,2013-08-01,debt_consolidation,GA,24.92,675.0,679.0,18.0,0.0,20151.0,72.7,33.0,2.0,1
53,35000.0,35000.0,36,6.99,1080.54,A,A2,1.0,MORTGAGE,252000.0,Source Verified,2016-09-01,credit_card,CO,1.84,755.0,759.0,15.0,0.0,30074.0,42.7,39.0,7.0,0
54,12000.0,12000.0,36,6.49,367.74,A,A2,7.0,MORTGAGE,105000.0,Source Verified,2014-10-01,credit_card,TX,4.42,670.0,674.0,5.0,0.0,15094.0,93.2,11.0,2.0,1
55,14000.0,14000.0,36,11.99,464.94,C,C1,5.0,OWN,252000.0,Source Verified,2016-03-01,other,CA,4.21,675.0,679.0,7.0,2.0,25637.0,78.5,21.0,3.0,0
56,7200.0,7200.0,36,14.49,247.8,C,C4,0.0,RENT,45000.0,Source Verified,2014-10-01,debt_consolidation,AZ,12.64,670.0,674.0,14.0,0.0,12634.0,31.0,14.0,0.0,1
57,35000.0,35000.0,60,19.99,927.1,E,E4,10.0,OWN,90000.0,Verified,2015-06-01,other,TX,10.93,710.0,714.0,11.0,0.0,74592.0,55.5,49.0,1.0,0
58,20000.0,20000.0,36,9.44,640.1,B,B1,5.0,MORTGAGE,81000.0,Source Verified,2017-12-01,debt_consolidation,AZ,24.15,670.0,674.0,23.0,0.0,31930.0,63.0,36.0,1.0,1
59,15000.0,15000.0,60,12.74,339.31,C,C1,10.0,OWN,245600.0,Source Verified,2017-03-01,medical,NY,5.03,700.0,704.0,8.0,1.0,12019.0,56.2,23.0,4.0,0
60,25000.0,25000.0,60,13.99,581.58,C,C3,10.0,MORTGAGE,50000.0,Not Verified,2016-11-01,debt_consolidation,GA,20.31,765.0,769.0,9.0,0.0,20084.0,46.1,18.0,2.0,0
61,10000.0,10000.0,36,10.99,327.34,B,B4,10.0,MORTGAGE,64000.0,Source Verified,2015-04-01,debt_consolidation,GA,19.88,660.0,664.0,6.0,0.0,6990.0,95.8,15.0,2.0,0
62,30000.0,30000.0,60,19.99,794.65,D,D4,5.0,RENT,120000.0,Source Verified,2016-11-01,debt_consolidation,NH,8.23,695.0,699.0,8.0,0.0,17195.0,53.4,28.0,0.0,1
63,14000.0,14000.0,60,12.62,315.83,C,C1,5.0,RENT,54000.0,Source Verified,2018-02-01,other,CO,1.9,715.0,719.0,3.0,0.0,5104.0,33.6,8.0,0.0,0
64,16000.0,16000.0,36,9.44,512.08,B,B1,1.0,RENT,65000.0,Not Verified,2017-09-01,debt_consolidation,MD,28.56,725.0,729.0,5.0,0.0,8458.0,89.0,37.0,0.0,0
65,2700.0,2700.0,36,9.17,86.08,B,B2,2.0,RENT,58000.0,Not Verified,2015-03-01,debt_consolidation,MA,17.88,660.0,664.0,7.0,0.0,3090.0,42.9,19.0,0.0,0
66,17500.0,17500.0,36,21.0,659.32,E,E2,10.0,RENT,75000.0,Source Verified,2012-10-01,small_business,TX,10.18,660.0,664.0,4.0,0.0,6610.0,85.8,25.0,0.0,1
67,14000.0,14000.0,36,7.39,434.79,A,A4,7.0,MORTGAGE,45000.0,Not Verified,2016-05-01,debt_consolidation,TX,14.51,755.0,759.0,12.0,0.0,9374.0,15.1,25.0,2.0,0
68,6000.0,6000.0,36,13.99,205.04,C,C3,6.0,RENT,61000.0,Verified,2016-06-01,medical,CA,20.32,680.0,684.0,8.0,0.0,18838.0,90.6,35.0,0.0,1
69,20000.0,20000.0,36,13.11,674.94,B,B4,2.0,MORTGAGE,150000.0,Source Verified,2013-01-01,credit_card,AZ,9.34,675.0,679.0,15.0,1.0,10142.0,61.1,34.0,7.0,0
70,12000.0,12000.0,36,6.03,365.23,A,A1,10.0,OWN,95000.0,Not Verified,2014-05-01,credit_card,NY,15.41,775.0,779.0,10.0,0.0,12612.0,32.1,33.0,1.0,0
71,30000.0,30000.0,36,9.16,956.23,B,B2,10.0,MORTGAGE,95000.0,Source Verified,2016-03-01,debt_consolidation,FL,14.21,725.0,729.0,12.0,0.0,15559.0,41.3,33.0,5.0,0
72,7000.0,7000.0,36,8.39,220.62,B,B1,8.0,RENT,68000.0,Not Verified,2016-03-01,debt_consolidation,NY,13.52,735.0,739.0,5.0,0.0,5526.0,42.2,10.0,0.0,0
73,30000.0,30000.0,36,6.97,925.91,A,A3,9.0,MORTGAGE,134770.0,Verified,2016-02-01,credit_card,CO,25.54,785.0,789.0,16.0,0.0,13387.0,19.4,64.0,3.0,0
74,35000.0,35000.0,60,11.44,768.69,B,B4,10.0,RENT,100000.0,Verified,2015-01-01,debt_consolidation,FL,22.84,785.0,789.0,24.0,0.0,32660.0,20.7,40.0,4.0,0
75,16000.0,16000.0,36,9.17,510.07,B,B2,5.0,RENT,79000.0,Not Verified,2015-07-01,credit_card,CT,15.11,695.0,699.0,22.0,1.0,15545.0,31.0,35.0,0.0,0
76,5000.0,5000.0,36,14.08,171.09,C,C3,10.0,MORTGAGE,58000.0,Verified,2017-08-01,debt_consolidation,CA,11.88,670.0,674.0,9.0,0.0,14026.0,56.1,14.0,2.0,1
77,12000.0,12000.0,60,13.11,273.72,B,B4,3.0,RENT,68000.0,Verified,2012-11-01,debt_consolidation,GA,29.91,720.0,724.0,8.0,0.0,38076.0,79.2,15.0,3.0,0
78,5000.0,5000.0,36,10.64,162.85,B,B4,10.0,RENT,80000.0,Verified,2015-12-01,debt_consolidation,NY,28.01,665.0,669.0,13.0,0.0,26335.0,76.8,29.0,2.0,0
79,20000.0,20000.0,60,19.99,529.77,E,E1,6.0,MORTGAGE,46962.0,Verified,2014-05-01,credit_card,CA,19.17,670.0,674.0,8.0,0.0,20842.0,60.2,23.0,5.0,1
80,15000.0,15000.0,36,10.99,491.01,B,B4,0.0,OWN,37000.0,Source Verified,2015-10-01,debt_consolidation,FL,17.43,660.0,664.0,8.0,0.0,8656.0,41.4,12.0,0.0,0
81,18000.0,18000.0,60,16.55,443.01,D,D2,10.0,OWN,36000.0,Not Verified,2015-08-01,debt_consolidation,AL,18.83,700.0,704.0,6.0,0.0,18841.0,68.8,12.0,0.0,1
82,35000.0,35000.0,36,9.67,1123.94,B,B1,8.0,OWN,135000.0,Verified,2014-02-01,debt_consolidation,TX,14.7,740.0,744.0,16.0,0.0,24837.0,43.2,30.0,1.0,0
83,8000.0,8000.0,36,5.32,240.92,A,A1,10.0,RENT,117000.0,Not Verified,2016-06-01,medical,NY,4.43,740.0,744.0,10.0,0.0,120.0,0.2,21.0,7.0,0
84,3000.0,3000.0,36,13.56,101.9,C,C1,2.0,RENT,42000.0,Not Verified,2018-07-01,credit_card,DC,13.33,680.0,684.0,7.0,0.0,3240.0,17.1,13.0,0.0,0
85,10975.0,10975.0,36,16.49,388.51,D,D3,10.0,MORTGAGE,98000.0,Not Verified,2015-01-01,debt_consolidation,CA,17.0,665.0,669.0,15.0,0.0,5811.0,66.2,38.0,2.0,0
86,8000.0,8000.0,36,6.97,246.91,A,A3,10.0,MORTGAGE,50000.0,Source Verified,2016-03-01,credit_card,WY,30.29,705.0,709.0,21.0,0.0,28845.0,41.1,37.0,3.0,0
87,1800.0,1800.0,36,13.49,61.08,C,C2,4.0,RENT,33000.0,Not Verified,2016-08-01,major_purchase,CA,4.44,705.0,709.0,6.0,1.0,4429.0,50.9,15.0,0.0,0
88,2800.0,2800.0,36,7.49,87.09,A,A4,10.0,MORTGAGE,44405.0,Source Verified,2017-01-01,debt_consolidation,MN,31.51,715.0,719.0,20.0,0.0,9362.0,36.6,45.0,2.0,0
89,10000.0,10000.0,36,14.08,342.17,C,C3,4.0,RENT,55000.0,Source Verified,2017-06-01,other,NY,17.89,675.0,679.0,16.0,0.0,7343.0,35.0,31.0,0.0,1
90,15000.0,15000.0,36,10.49,487.47,B,B3,3.0,MORTGAGE,104000.0,Not Verified,2015-01-01,debt_consolidation,TN,12.24,660.0,664.0,11.0,0.0,6869.0,58.2,28.0,4.0,0
91,3500.0,3500.0,36,8.39,110.31,B,B1,5.0,OWN,100000.0,Not Verified,2016-03-01,home_improvement,MA,15.89,670.0,674.0,12.0,0.0,13959.0,71.6,17.0,2.0,0
92,16000.0,16000.0,60,14.49,376.37,C,C4,0.0,MORTGAGE,58000.0,Not Verified,2014-08-01,debt_consolidation,NY,20.77,705.0,709.0,11.0,0.0,2972.0,47.2,79.0,1.0,1
93,32000.0,32000.0,60,22.74,897.33,E,E1,1.0,MORTGAGE,73500.0,Verified,2016-10-01,home_improvement,PA,9.5,670.0,674.0,7.0,1.0,683.0,25.3,20.0,4.0,1
94,29000.0,29000.0,36,7.9,907.42,A,A4,10.0,MORTGAGE,80000.0,Source Verified,2014-01-01,debt_consolidation,NY,22.59,750.0,754.0,7.0,0.0,22961.0,70.6,31.0,6.0,0
95,25000.0,25000.0,36,7.26,774.91,A,A4,1.0,RENT,97000.0,Source Verified,2015-10-01,debt_consolidation,IL,10.17,715.0,719.0,7.0,0.0,20678.0,38.5,12.0,0.0,0
96,10000.0,10000.0,36,9.49,320.29,B,B2,4.0,RENT,150000.0,Not Verified,2015-01-01,moving,NY,11.64,680.0,684.0,9.0,0.0,16043.0,91.7,31.0,0.0,0
97,10000.0,10000.0,36,9.99,322.63,B,B3,1.0,OWN,50000.0,Source Verified,2015-11-01,debt_consolidation,KY,17.12,680.0,684.0,19.0,0.0,15646.0,54.1,24.0,0.0,1
98,6000.0,6000.0,36,13.98,205.01,C,C3,10.0,OWN,100000.0,Not Verified,2014-10-01,debt_consolidation,PA,15.55,675.0,679.0,6.0,0.0,4961.0,49.6,22.0,4.0,0
99,35000.0,35000.0,60,27.34,1075.87,G,G1,10.0,MORTGAGE,95000.0,Verified,2016-03-01,debt_consolidation,CA,22.3,660.0,664.0,25.0,0.0,30254.0,48.3,44.0,3.0,0
100,4000.0,4000.0,36,7.89,125.15,A,A5,10.0,MORTGAGE,130000.0,Source Verified,2015-07-01,debt_consolidation,WA,25.48,700.0,704.0,12.0,0.0,9054.0,55.9,43.0,5.0,0
101,18000.0,18000.0,36,11.99,597.78,B,B3,8.0,MORTGAGE,79000.0,Verified,2013-10-01,debt_consolidation,GA,14.05,720.0,724.0,18.0,1.0,10892.0,22.0,40.0,2.0,0
102,12500.0,12500.0,36,9.93,402.93,B,B2,10.0,OWN,70000.0,Not Verified,2017-11-01,debt_consolidation,AZ,17.71,675.0,679.0,10.0,0.0,1717.0,8.1,24.0,2.0,0
103,6000.0,6000.0,36,8.18,188.52,B,B1,5.0,RENT,120000.0,Not Verified,2015-10-01,debt_consolidation,VA,35.81,760.0,764.0,16.0,0.0,37304.0,42.1,28.0,4.0,0
104,12825.0,12825.0,60,20.49,343.3,E,E1,4.0,RENT,42000.0,Verified,2013-04-01,debt_consolidation,NY,16.69,660.0,664.0,14.0,0.0,10877.0,84.3,16.0,0.0,1
105,7000.0,7000.0,36,11.06,229.37,B,B3,3.0,RENT,55000.0,Not Verified,2018-09-01,debt_consolidation,MN,22.06,730.0,734.0,7.0,0.0,3598.0,28.8,9.0,0.0,0
106,19700.0,19700.0,36,7.21,610.18,A,A3,10.0,MORTGAGE,78000.0,Not Verified,2017-10-01,debt_consolidation,IL,31.51,825.0,829.0,16.0,0.0,15286.0,1.2,34.0,6.0,0
107,35000.0,35000.0,60,16.99,869.66,D,D1,5.0,MORTGAGE,112000.0,Verified,2014-02-01,credit_card,TX,11.46,745.0,749.0,15.0,0.0,28760.0,34.7,44.0,2.0,0
108,20000.0,20000.0,36,7.12,618.64,A,A3,9.0,MORTGAGE,54000.0,Not Verified,2014-05-01,debt_consolidation,MN,16.69,805.0,809.0,15.0,0.0,5746.0,6.6,35.0,2.0,0
109,31950.0,31950.0,36,24.11,1255.34,F,F2,1.0,RENT,87000.0,Source Verified,2016-03-01,debt_consolidation,TN,24.01,660.0,664.0,7.0,1.0,1408.0,16.2,18.0,0.0,1
110,12000.0,12000.0,60,21.49,327.96,D,D5,1.0,RENT,45000.0,Source Verified,2016-09-01,debt_consolidation,CA,19.49,705.0,709.0,5.0,0.0,4996.0,35.9,17.0,4.0,0
111,35000.0,35000.0,36,17.86,1262.88,D,D5,9.0,MORTGAGE,100000.0,Verified,2015-10-01,debt_consolidation,MT,9.64,660.0,664.0,5.0,0.0,3035.0,35.7,19.0,4.0,0
112,15000.0,15000.0,36,10.41,486.91,B,B3,6.0,RENT,87000.0,Not Verified,2018-04-01,other,FL,7.7,695.0,699.0,6.0,0.0,20941.0,77.0,15.0,0.0,0
113,33425.0,33425.0,36,21.7,1271.34,E,E2,2.0,RENT,75000.0,Verified,2013-11-01,house,NY,4.96,710.0,714.0,11.0,0.0,10158.0,31.4,25.0,0.0,0
114,15000.0,15000.0,60,9.93,318.19,B,B2,10.0,MORTGAGE,65000.0,Not Verified,2018-01-01,home_improvement,NC,17.71,735.0,739.0,11.0,0.0,80603.0,0.7,26.0,1.0,0
115,35000.0,35000.0,60,15.61,843.9,D,D1,2.0,MORTGAGE,124000.0,Verified,2015-05-01,debt_consolidation,FL,21.64,695.0,699.0,15.0,0.0,35039.0,62.2,27.0,5.0,1
116,17000.0,17000.0,36,8.39,535.79,B,B1,10.0,RENT,83000.0,Not Verified,2016-03-01,debt_consolidation,GA,15.04,665.0,669.0,7.0,0.0,16379.0,53.5,22.0,3.0,0
117,20000.0,20000.0,36,8.49,631.26,B,B1,10.0,RENT,75000.0,Source Verified,2015-12-01,credit_card,NY,14.69,670.0,674.0,7.0,0.0,14544.0,77.8,20.0,1.0,0
118,24000.0,24000.0,36,7.99,751.97,A,A4,3.0,MORTGAGE,82000.0,Source Verified,2016-08-01,debt_consolidation,TN,19.46,680.0,684.0,18.0,0.0,26090.0,43.0,28.0,1.0,0
119,14400.0,14400.0,36,6.89,443.91,A,A3,1.0,RENT,76000.0,Source Verified,2015-06-01,credit_card,CA,18.63,690.0,694.0,10.0,0.0,18680.0,73.0,20.0,0.0,0
120,5000.0,5000.0,36,13.49,169.66,C,C2,7.0,MORTGAGE,114996.0,Verified,2011-05-01,debt_consolidation,CA,16.11,680.0,684.0,5.0,0.0,0.0,43.61,27.0,1.0,0
121,4800.0,4800.0,36,12.49,160.56,B,B4,0.0,RENT,90000.0,Source Verified,2014-03-01,credit_card,CA,11.89,660.0,664.0,6.0,0.0,17293.0,95.0,23.0,0.0,0
122,35000.0,35000.0,36,15.61,1223.77,C,C3,9.0,MORTGAGE,92000.0,Source Verified,2013-11-01,car,NY,10.34,680.0,684.0,16.0,0.0,46667.0,68.2,33.0,1.0,0
123,23900.0,23900.0,36,15.59,835.43,D,D1,0.0,MORTGAGE,100000.0,Source Verified,2015-01-01,debt_consolidation,FL,8.67,685.0,689.0,12.0,0.0,7277.0,61.7,17.0,1.0,1
124,12000.0,12000.0,60,19.99,317.86,E,E4,9.0,MORTGAGE,61000.0,Verified,2015-09-01,debt_consolidation,NC,16.45,665.0,669.0,12.0,0.0,6433.0,50.7,17.0,1.0,0
125,20000.0,20000.0,36,12.69,670.9,C,C2,10.0,OWN,123000.0,Source Verified,2015-06-01,debt_consolidation,CA,14.2,660.0,664.0,17.0,0.0,23666.0,58.3,33.0,0.0,0
126,7000.0,7000.0,36,7.9,219.04,A,A4,2.0,RENT,40000.0,Not Verified,2013-01-01,debt_consolidation,CO,20.79,750.0,754.0,10.0,0.0,7743.0,26.7,15.0,0.0,0
127,8400.0,8400.0,36,7.12,259.83,A,A3,3.0,RENT,25000.0,Verified,2014-07-01,credit_card,NY,7.92,800.0,804.0,10.0,0.0,1379.0,6.1,14.0,0.0,0
128,12000.0,12000.0,36,12.35,400.59,B,B4,6.0,MORTGAGE,38000.0,Not Verified,2013-07-01,credit_card,FL,10.67,660.0,664.0,10.0,0.0,9537.0,62.3,14.0,2.0,0
129,35000.0,35000.0,60,18.99,907.73,E,E1,1.0,MORTGAGE,180000.0,Source Verified,2016-01-01,debt_consolidation,VA,23.8,670.0,674.0,24.0,0.0,55587.0,85.6,39.0,8.0,1
130,10000.0,10000.0,36,6.97,308.64,A,A3,0.0,RENT,56000.0,Source Verified,2016-03-01,credit_card,FL,20.15,685.0,689.0,6.0,0.0,12045.0,74.8,27.0,3.0,0
131,7500.0,7500.0,36,10.16,242.57,B,B1,10.0,MORTGAGE,32000.0,Not Verified,2012-08-01,car,FL,6.49,765.0,769.0,2.0,0.0,8156.0,55.5,6.0,1.0,0
132,12000.0,12000.0,36,7.9,375.49,A,A4,10.0,RENT,83000.0,Not Verified,2013-01-01,credit_card,TX,10.83,695.0,699.0,8.0,1.0,16089.0,72.8,21.0,3.0,0
133,17500.0,17500.0,36,6.67,537.72,A,A2,3.0,MORTGAGE,133302.0,Not Verified,2018-08-01,major_purchase,MA,0.23,845.0,850.0,9.0,0.0,349.0,0.6,15.0,1.0,0
